Fact++,Expressivity,Profile,class_count,obj_property_count,dataproperty_count,indiv_count,datatypes_count,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,Complement,OneOf,HasValue,HasSelf,IntersectionR,UnionR,ExistentielR,UniversalR,LeastCardinalityR,MostCardinalityR,ExactCardinalityR,avgValuesCard,LogestMCard,LogestLCard,LogestECard,ComplementR,OneOfR,HasValueR,HasSelfR,MaxACC,OntoCCDensity,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,TransitiveObjectProperty,ObjectPropertyDomain,SubObjectPropertyOf,SubClassOf,ClassAssertion,DataPropertyRange,FunctionalObjectProperty,ObjectPropertyRange,InverseFunctionalObjectProperty,InverseObjectProperties,DisjointClasses,FunctionalDataProperty,AttRichness,RRichness,HC_Max_Sibling,HC_Avg_Sibling,C_TangledClass,C_MaxTangledness,C_CENTRALITY,HC_MAX_DEPTH,HC_Cohesion,HP_Max_Sibling,HP_Avg_Sibling,P_Tangledness,MAX_PTangledness,OP_Cohesion,P_CENTRALITY,HP_MAX_DEPTH,HP_Cohesion,Onto_Cohesion,CyclicClsRatio,CyclicClsCount,UI,EUR,CUR,SymmetricObjectProperty,EquivalentClasses,DataPropertyDomain,ObjectPropertyAssertion,SubPropertyChainOf,DisjointUnion,DifferentIndividuals,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,DataPropertyAssertion,SubDataPropertyOf,ReflexiveObjectProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
Correct,ALCO,DL,133,0,0,19,0,346,213,192,21,0,90.141,4.629,0,16,115,1,8.333,59.896,0.521,7,2.182,28.571,3.008,0,42.105,100,0,13,0,0,0,0,0,0,4,0,0,0,76.471,0,0,0,0,0,0,0,0,0,0,23.529,0,0,1,0.089,0,0,0,0,0,0,0,0,0,0,0,0,61.502,8.92,0,0,0,0,0,20.657,0,0,0.229,18,3.359,0,1,0.131,8,0.076,0,0,0,1,0,0,0,0,0.076,0,0,0,0,0,0,7.981,0,0,0,0,0.939,0,0,0,0,0,0,0,0,0
Correct,ALE+,DL,2983,1,0,0,0,7262,4278,3775,502,1,88.242,0.274,0.023,0,3775,0,0,100,0,3,2.475,0,0,0,0,0,0,0,1794,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.475,0,100,0,0,0,0,0,0,0,0.023,0,0,88.242,11.734,0,0,0,0,0,0,0,0,0,129,3.662,0.101,4,0.043,8,0.002,0,0,0,1,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,SH,DL,16302,4,0,7,0,129647,113341,32286,81052,3,28.486,0.063,0.003,0,32283,0,0,99.991,0,3,2.206,0.018,0,0,0,0,0,0,6657,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.206,0,48.175,0,0,0,0,0,0,51.825,0.001,0,0.002,28.483,71.512,0,0,0,0,0,0.003,0,0,0,480,3.518,0.018,6,0.029,14,0.006,2,2,0,1,0,0.667,2,0.667,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,SR,DL,23851,7,0,11,0,219662,195804,50898,144897,9,25.994,0.038,0.005,0,50895,0,0,99.994,0,3,2.216,0.013,0,0,0,0,0,0,10978,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.216,0,45.072,0,0,0,0,0,0,54.928,0.001,0,0.001,25.993,74.001,0,0,0,0,0,0.002,0,0,0,632,3.685,0.025,8,0.026,15,0.006,2,2,0,1,0,0.333,2,0.19,0.098,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
Timeout,SHIF,DL,17295,96,0,7,0,135316,117925,34280,83567,78,29.069,0.06,0.066,544,32846,0,1.587,95.817,0,7,2.25,0.017,0,0,0,0,545,0,7464,0,0,0,0,0,0,0,0,6.805,0,93.195,0,0,0,0,0,0,0,0,0,0,0,0,3,0.078,0,46.369,0,0,0,0,0,0,46.959,0.019,0,0.036,28.605,70.865,0,0.001,0,0,0.009,0.003,0,0,0,499,3.521,0.017,6,0.029,14,0.005,8,3,1.042,2,0,0.087,4,0.021,0.013,0.001,1,0,0,0,0.002,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,SHIF,DL,18672,95,0,7,0,145563,126796,37396,89323,77,29.493,0.056,0.061,659,35649,0,1.762,95.328,0,9,2.257,0.016,0,0,0,0,659,0,8270,0,0,0,0,0,0,0,0,7.38,0,92.62,0,0,0,0,0,0,0,0,0,0,0,0,4,0.06,0,49.915,0,0,0,0,0,0,43.664,0.017,0,0.033,28.971,70.446,0,0.001,0,0,0.009,0.002,0,0,0,597,3.722,0.016,6,0.032,14,0.005,8,3,1.053,2,0,0.088,4,0.022,0.013,0.001,1,0,0,0,0.002,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,SRIF,DL,26970,101,0,11,0,242288,215217,57130,157995,92,26.545,0.034,0.043,523,55624,0,0.915,97.364,0,9,2.24,0.019,0,0,0,0,523,0,12633,0,0,0,0,0,0,0,0,3.975,0,96.025,0,0,0,0,0,0,0,0,0,0,0,0,4,0.058,0,47.764,0,0,0,0,0,0,47.732,0.01,0,0.019,26.3,73.412,0,0,0,0,0.005,0.002,0,0,0,757,3.87,0.022,8,0.028,15,0.005,8,2.562,0.99,2,0,0.073,3,0.018,0.011,0.001,1,0,0,0,0.001,0.243,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SHIF,DL,37501,103,0,7,0,436610,399006,73707,325220,79,18.473,0.02,0.02,2856,65554,190,3.875,88.939,0.258,9,2.375,0.008,0,0,0,0,3046,0,21423,0,0,0,0,0,0,0,0,12.448,0,87.552,0,0,0,0,0,0,0,0,0,0,0,0,4,0.083,0,19.54,0,0,0,0,0,0,22.518,0.006,0,0.011,17.709,81.508,0,0,0,0,0.003,0.001,0,0,0,481,3.944,0.011,9,0.013,19,0.003,8,3,0.971,2,0,0.082,4,0.019,0.011,0,1,0,0,0,0.001,0.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SRIF,DL,55737,109,0,11,0,794904,739058,123298,615666,94,16.683,0.011,0.013,3066,114216,22,2.487,92.634,0.018,9,2.364,0.005,0,0,0,0,3088,0,38615,0,0,0,0,0,0,0,0,7.405,0,92.595,0,0,0,0,0,0,0,0,0,0,0,0,4,0.085,0,19.516,0,0,0,0,0,0,17.838,0.003,0,0.006,16.265,83.304,0,0,0,0,0.001,0,0,0,0,665,4.556,0.011,9,-0.031,19,0.003,8,2.562,0.917,2,0,0.068,3,0.015,0.009,0,1,0,0,0,0,0.418,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SH,DL,27899,17,0,7,0,323312,295396,51209,244182,5,17.336,0.028,0.002,3855,36081,0,7.528,70.458,0,13,2.388,0.011,0,0,0,0,3855,0,11806,0,0,0,0,0,0,0,0,24.615,0,75.385,0,0,0,0,0,0,0,0,0,0,0,0,6,0.051,0,35.228,0,0,0,0,0,0,61.689,0,0,0.001,16.03,82.663,0,0,0,0,0,0.001,0,0,0,1363,4.192,0.011,6,0.049,15,0.002,2,2,0,1,0,0.108,2,0.059,0.031,0,0,0,0,0,0,1.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SR,DL,36124,21,0,12,0,436130,399985,74679,325293,13,18.67,0.02,0.003,4429,56021,0,5.931,75.016,0,13,2.364,0.008,0,0,0,0,4431,0,17881,0,0,0,0,0,0,0,0,19.859,0,80.141,0,0,0,0,0,0,0,0,0,0,0,0,6,0.05,0,37.308,0,0,0,0,0,0,60.511,0.001,0,0.001,17.562,81.326,0,0,0,0,0,0.001,0,0,0,1548,4.305,0.008,8,0.043,15,0.004,2,1.667,0,1,0,0.084,3,0.052,0.028,0,0,0,0,0,0,1.108,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
Timeout,SHIF,DL,19145,87,0,20,0,141294,122062,35876,86099,87,29.392,0.058,0.071,106,35574,0,0.295,99.158,0,5,2.217,0.016,0,0,0,0,106,0,7559,0,0,0,0,0,0,0,0,1.383,0,98.617,0,0,0,0,0,0,0,0,0,0,0,0,2,0.107,0,49.888,0,0,0,0,0,0,46.117,0.017,0.004,0.036,29.302,70.537,0,0.001,0.002,0,0.009,0.002,0,0,0,1414,3.607,0.016,6,0.074,14,0.004,8,2.933,1.149,2,0,0.095,4,0.027,0.011,0.001,1,0,0,0,0.002,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,SRIF,DL,27411,97,0,34,0,241464,213956,55938,157897,121,26.145,0.034,0.057,351,54791,0,0.627,97.95,0,7,2.229,0.401,0,0,0,0,351,0,12083,0,0,0,0,0,0,0,0,2.823,0,97.177,0,0,0,0,0,0,0,0,0,0,0,0,3,0.074,0,49.127,0,0,0,0,0,0,51.519,0.012,0.005,0.021,25.951,73.799,0,0,0.004,0,0.005,0.029,0,0,0.001,1607,3.761,0.018,8,0.059,15,0.004,8,2.5,1.031,2,0,0.075,3,0.021,0.008,0.001,1,0,0,0,0.001,0.164,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0
Timeout,SRIQ,DL,34209,206,0,19,0,262022,227607,78673,148736,198,34.565,0.029,0.087,4419,62578,1,5.617,79.542,0.001,9,2.43,0.985,0,0,0,0,4406,14,24730,0,0,0,27,0,0,0,0,15.101,0.048,84.759,0,0,0,0,0,0,0,2,0,0,0,0,4,0.093,39.859,59.212,0,0,0,0,0,0,67.803,0.018,0.005,0.036,32.523,65.348,0,0,0.004,0,0.009,0.143,0,0,0.004,1518,4.107,0.015,8,0.044,16,0.003,8,1.841,0.971,3,0,0.036,3,0.008,0.004,0,1,0,0,0,0.001,1.9,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0
Timeout,SHIF,DL,17295,93,0,7,0,135269,117881,34236,83567,78,29.043,0.06,0.066,501,32916,0,1.463,96.144,0,7,2.246,0.017,0,0,0,0,501,0,7419,0,0,0,0,0,0,0,0,6.326,0,93.674,0,0,0,0,0,0,0,0,0,0,0,0,3,0.077,0,46.65,0,0,0,0,0,0,47.19,0.019,0,0.036,28.615,70.891,0,0.001,0,0,0.009,0.003,0,0,0,499,3.521,0.017,6,0.029,14,0.005,8,3,1.075,2,0,0.09,4,0.023,0.014,0.001,1,0,0,0,0.002,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALE+,DL,2720,4,0,0,0,24424,21700,10084,11614,2,46.47,0.247,0.009,0,10084,0,0,100,0,3,2.745,0,0,0,0,0,0,0,7512,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.745,0,29.952,0,0,0,0,0,0,0,0.009,0,0,46.47,53.521,0,0,0,0,0,0,0,0,0,146,6.414,0.074,3,0.053,12,0.005,0,0,0,1,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timeout,SHIF,DL,18675,83,0,7,0,145298,126540,37140,89323,77,29.35,0.056,0.061,400,36105,2,1.077,97.213,0.005,7,2.238,0.016,0,0,0,0,402,0,7999,0,0,0,0,0,0,0,0,4.785,0,95.215,0,0,0,0,0,0,0,0,0,0,0,0,3,0.075,0,51.581,0,0,0,0,0,0,44.668,0.017,0,0.033,29.03,70.589,0,0.001,0,0,0.009,0.002,0,0,0,597,3.722,0.016,6,0.032,14,0.005,8,3,1.205,2,0,0.1,4,0.029,0.017,0.001,1,0,0,0,0.002,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALE,DL,3141,3,0,0,0,14262,11118,3857,7261,0,34.691,0.587,0,0,3857,0,0,100,0,3,2.422,0,0,0,0,0,0,0,1627,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.422,0,0,0,0,0,0,0,0,0,0,0,0,34.691,65.309,0,0,0,0,0,0,0,0,0,144,3.729,0.064,3,0.046,8,0.002,0,0,0,1,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,ALE,DL,5352,3,0,0,0,24905,19550,6373,13177,0,32.598,0.345,0,0,6373,0,0,100,0,3,2.389,0,0,0,0,0,0,0,2479,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.389,0,0,0,0,0,0,0,0,0,0,0,0,32.598,67.402,0,0,0,0,0,0,0,0,0,215,4.658,0.037,3,0.04,9,0.001,0,0,0,1,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct,SR,DL,3125,7,0,11,0,21761,18629,5709,12911,9,30.646,0.372,0.048,0,5708,0,0,99.982,0,3,2.19,0.064,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19,0,100,0,0,0,0,0,0,0,0.011,0,0.011,30.64,69.306,0,0,0,0,0,0.005,0,0,0,695,6.829,0.128,5,0.222,10,0.008,2,2,0,1,0,0.333,2,0.19,0.099,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0
Exec_err,SR,DL,37253,8,0,11,0,372023,334762,68652,266101,9,20.508,0.024,0.003,199,68034,0,0.29,99.1,0,7,2.185,0.016,0,0,0,0,199,0,12272,0,0,0,0,0,0,0,0,1.596,0,98.404,0,0,0,0,0,0,0,0,0,0,0,0,3,0.061,0,49.242,0,0,0,0,0,0,49.136,0.001,0,0.001,20.446,79.49,0,0,0,0,0,0.002,0,0,0,1644,4.22,0.016,8,0.044,16,0.003,2,2,0,1,0,0.286,2,0.143,0.073,0,0,0,0,0,0,0.059,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
